Message,Level,Career
To build a long-term career in an IT company with opportunities for career growth. To obtain employment with a company that offers a positive atmosphere to learn and implement new skills and technologies for the betterment of the organization. ,Entry,IT
"To build a long-term career in an Automobile company with opportunities for career growth. To obtain employment with a company that offers a positive atmosphere to learn and implement new skills and technologies for the betterment of the organization. Also would like to gain employment at a company, which will inspire me to enchance my skils in this industry and work as a team player in a positive atmosphere. My aim is to take the organisation to a different level and help it achieve their goal. Always willing to work hard and provide my inputs",Entry,Automobile
"To build a long-term career in an Electrical company with opportunities for career growth. To obtain employment with a company that offers a positive atmosphere to learn and implement new skills and technologies for the betterment of the organization. Also would like to gain employment at a company, which will inspire me to enchance my skils in this industry and work as a team player in a positive atmosphere. My aim is to take the organisation to a different level and help it achieve their goal. Always willing to work hard and provide my inputs",Entry,Electrical
"To build a long-term career in an Mechanical company with opportunities for career growth. To obtain employment with a company that offers a positive atmosphere to learn and implement new skills and technologies for the betterment of the organization. Also would like to gain employment at a company, which will inspire me to enchance my skils in this industry and work as a team player in a positive atmosphere. My aim is to take the organisation to a different level and help it achieve their goal. Always willing to work hard and provide my inputs",Entry,Mechanical
"Working in an IT company with opportunities for career growth. Also would like to gain employment at a company, which will inspire me to enchance my skils in this industry and work as a team player in a positive atmosphere. My aim is to take the organisation to a different level and help it achieve their goal. Always willing to work hard and provide my inputs",Entry,IT
"Working in an Mechanical company with opportunities for career growth. Also would like to gain employment at a company, which will inspire me to enchance my skils in this industry and work as a team player in a positive atmosphere. My aim is to take the organisation to a different level and help it achieve their goal. Always willing to work hard and provide my inputs",Entry,Mechanical
"Working in an Automobile company with opportunities for career growth. Also would like to gain employment at a company, which will inspire me to enchance my skils in this industry and work as a team player in a positive atmosphere. My aim is to take the organisation to a different level and help it achieve their goal. Always willing to work hard and provide my inputs",Entry,Automobile
"Working in an Electrical company with opportunities for career growth. Also would like to gain employment at a company, which will inspire me to enchance my skils in this industry and work as a team player in a positive atmosphere. My aim is to take the organisation to a different level and help it achieve their goal. Always willing to work hard and provide my inputs",Entry,Electrical
"Working in an IT company with opportunities for career growth. Also would like to gain employment at a company, which will inspire me to enchance my skils in this industry and work as a team player in a positive atmosphere. My aim is to take the organisation to a different level and help it achieve their goal. Always willing to work hard and provide my inputs",Experienced,IT
"Working in an Mechanical company with opportunities for career growth. Also would like to gain employment at a company, which will inspire me to enchance my skils in this industry and work as a team player in a positive atmosphere. My aim is to take the organisation to a different level and help it achieve their goal. Always willing to work hard and provide my inputs",Experienced,Mechanical
"Working in an Automobile company with opportunities for career growth. Also would like to gain employment at a company, which will inspire me to enchance my skils in this industry and work as a team player in a positive atmosphere. My aim is to take the organisation to a different level and help it achieve their goal. Always willing to work hard and provide my inputs",Experienced,Automobile
"Working in an Electrical company with opportunities for career growth. Also would like to gain employment at a company, which will inspire me to enchance my skils in this industry and work as a team player in a positive atmosphere. My aim is to take the organisation to a different level and help it achieve their goal. Always willing to work hard and provide my inputs",Experienced,Electrical
"Major area of research of interest and preference lies in the field of Computers. To have a learning and growth  oriented career, in a company havig a modern and professional working environment.",Experienced,IT
"Major area of research of interest and preference lies in the field of Automobile. To have a learning and growth  oriented career, in a company havig a modern and professional working environment.",Experienced,Automobile
"Major area of research of interest and preference lies in the field of Mechanics. To have a learning and growth  oriented career, in a company havig a modern and professional working environment.",Experienced,Mechanical
"Major area of research of interest and preference lies in the field of Electronics. To have a learning and growth  oriented career, in a company havig a modern and professional working environment.",Experienced,Electrical
"Major area of research of interest and preference lies in the field of Computers. To have a learning and growth  oriented career, in a company havig a modern and professional working environment.",Entry,IT
"Major area of research of interest and preference lies in the field of Automobile. To have a learning and growth  oriented career, in a company havig a modern and professional working environment.",Entry,Automobile
"Major area of research of interest and preference lies in the field of Mechanics. To have a learning and growth  oriented career, in a company havig a modern and professional working environment.",Entry,Mechanical
